"WEEKS","HOURS OF SLEEPING","HOURS OF WORKING","HOURS OF LEARNING","HOURS OF FUN","HOURS OF RELAXATION"
"1",53,46,29,29,11
"2",54,43,32,30,9
"3",48,52,24,32,12
"4",56,53,32,12,5
"5",38,49,32,40,9
"6",44,57,20,38,9
"7",53,59,24,24,8
"8",52,53,40,16,11
"9",38,60,22,40,8
"10",37,50,40,30,11
"11",58,30,44,24,12
"12",46,46,45,16,15
"13",52,40,32,38,6
"14",51,52,32,20,13
"15",47,43,38,32,8
"16",46,42,45,25,10
"17",57,42,25,32,12
"18",54,32,41,32,9
"19",49,50,32,32,5
"20",37,37,40,49,9
"21",60,32,40,25,11
"22",62,32,36,20,18
"23",57,40,40,20,11
"24",49,30,40,40,9
